area_id,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,area16,area17,area18,area19,area20,area21,area22,area23,area24
0,27.637943686645038,28.130350776439037,81.60691793639148,79.9076802904647,34.870067312233026,40.841800655888605,44.81617591358675,66.51181254465135,48.64335005929225,48.591895981549726,50.12775897327982,75.49702778471166,59.15982158252388,61.38809078767772,41.61927512575205,25.31082622301544,28.036271614405386,52.34937715424075,58.308748676448786,68.90555550104031,82.84454023642854,83.35330857455087,57.10636827416127,65.89209232877936
1,62.1991046859573,31.492632530302757,53.454833851238305,51.369378338410066,70.83259557309627,83.56851525155307,65.4914242743304,76.798156420812,54.38656924976793,25.07898590844688,44.53121815924779,74.08939019061134,31.385707805020694,37.194404714701626,40.93589848636134,30.60438100614634,39.22687097001574,37.61514175229421,63.772781329503786,26.141405615672404,27.285943726106453,75.32892080175887,39.75975570088767,42.09094610575279
2,57.31559813548134,53.1786570325933,55.59916468898852,29.510075674325783,54.949536242160704,35.108530612491265,63.76454770787704,32.028944885124815,31.017964674602453,57.33927010710174,50.93769577478534,29.780173648484272,41.5736227676789,55.803486708304895,71.69133934053934,65.51996537386611,43.02570171578539,75.03581887035243,30.52357020243433,68.91174922601101,30.317329847917193,66.42621250303236,27.55829730663052,42.62765161794372
3,54.74507098100095,53.935134631086875,45.915136061992555,49.723317292330925,66.28934052693998,72.53089152772436,54.286500498683054,28.95073845197328,47.60409479644766,80.47747785555728,35.776000317278985,41.443042751362114,30.540782742920747,73.51583600175294,40.31303654335875,81.47446621608066,45.82540435392702,68.61401605977105,71.40300824531421,32.470529713105726,78.62404104126851,53.6582400784642,33.76341956890768,70.31008132185899
4,72.37126367826122,32.1650944380232,59.62494109661824,41.98233406570148,83.0876157923953,63.25858532180556,74.68714047245606,44.634073515187495,80.02580935572547,27.726270079255137,83.47931711038594,41.23458955349176,83.73130781661096,69.65859675655344,36.19873675586345,75.57290267879351,73.97567144494143,43.510274439184556,61.86604711884637,82.41034025215004,25.599907227831935,75.91479347460691,82.82386034539516,64.34793966779232
5,48.08563100050855,40.45242261245322,78.21310581891538,64.76717360820129,83.1513485423987,58.080804250462364,39.041803804715315,40.60320017675797,30.878790498997795,39.660270779496145,33.25325342047433,42.679291596954066,56.63322927410124,71.46834577912674,45.35029008057917,66.02164439630445,78.87705369701811,58.13068831485093,32.51421751912196,77.34781212287272,49.90265811336356,61.42284699368996,54.11183819414937,76.37023216138337
6,27.416128810770353,69.45421460486767,48.635323656789836,59.814667260655185,83.9180068525044,51.5229925696552,76.56583726231995,81.59314025060822,82.98662522508118,75.33009908912595,79.24768338200901,46.89545814767999,54.504448957861385,25.992034357148334,28.952180878191598,25.328486004429813,71.0515695599314,58.318152692818195,69.95315428953057,49.52575926712012,47.55015695471306,36.98755266193622,42.43010177023902,69.6034426907179
7,59.618984634248704,53.428603373164925,84.7105131367823,82.87003529753413,60.47641493667554,78.32950196620143,41.5738196278417,70.5480691335002,79.01361479470054,74.09439530197449,71.10847423737155,71.95878191689845,53.75581815712615,57.13581333136958,66.41643574735522,46.49447453915952,72.25301548033062,30.606239396099056,27.213000710245737,41.264137265348545,58.9759678726201,54.309919466977135,50.13542163759043,81.92591538365019
8,59.91901669105262,53.49612806081429,74.1264963504897,79.3727926925009,36.84068747767684,63.028962007396125,53.84741859406087,29.712979144487846,48.36937977381818,67.6251539481902,25.98873558680088,62.666397403951954,83.85669371142373,43.88135966110783,78.93028746321059,66.64465835762411,34.56329877286955,44.64569472131404,84.05667566713971,57.91459244788106,60.35953746558958,55.84822335987993,72.50518639853215,49.6752962707475
9,80.57264119148482,67.93843894117686,62.62587369718192,28.88377395708934,80.40710677839878,39.70095314512608,73.45845232199056,50.70683552024015,61.49314177814513,57.20653706505956,39.7851696558569,61.29744639052823,77.69623119197982,77.6937940167076,80.16935693478221,33.995747565709124,46.5405043701361,27.41988619625127,43.440847200721024,83.51987364075394,45.4504201693649,38.36728392101208,41.58890320101222,55.12302877422295
10,63.54492293614169,57.5778571628929,37.07667497921921,68.86345037034084,53.42177531162199,56.34642747660869,27.718189182320152,36.73900138483974,29.07676838690569,34.839665585656356,67.19417986511954,71.10235833090564,55.672631593098195,69.43567951832961,59.34077008264428,44.25158707833107,29.88518636629989,49.845965179293955,35.928804766051,79.24316134848004,63.63656632178975,25.13511871758216,76.20993712262612,59.99391739150668
11,80.98963627283104,79.83103860406604,31.26997887431618,25.681778277541454,46.11507533301184,77.2890997049594,67.21704882803826,71.09802139919856,44.7560604430035,44.13405955012978,58.669249785305325,53.56031390116141,78.27578418432856,52.54640505312996,28.00367669663185,39.653361846338264,79.23073232374625,54.00991831037359,42.07811094187232,69.56436894704436,31.30620100013413,57.34354215232169,42.80612741360945,60.75019663223556
12,25.29201774661845,38.031055734602646,50.59357595640817,76.31409862637854,58.529004431276704,83.23690542143652,49.290149487591684,32.09094893779461,74.1745304795251,54.38970980633542,56.05250048311794,60.70511925799183,42.37239521835112,28.79980486088448,42.676447787316825,56.6500492274284,27.28135531503949,65.15634996596296,40.26323471428369,45.49089845355744,39.30346750333308,33.875606331621455,71.50006717464872,47.725058262999795
13,60.836566917766504,44.98168719594675,26.36595612126434,46.9101491950587,84.30365235525342,57.127071533989934,42.305410993078404,32.006743788879696,45.99489800153577,36.03580589841461,83.9717562185578,28.406226091149215,41.23218198004327,48.61336288491533,30.68061818979716,31.91921637687586,78.9725571617555,36.06272702318877,38.97995555329684,73.02771719944042,40.34525844988801,49.82635337998449,73.51033457079367,36.74863624039626
14,76.72761231281565,48.26057761369829,58.936120950256495,69.7785333483929,51.0343226014524,56.97478724447768,72.70015032333768,26.993152755427616,80.63047795732129,84.81776271506668,55.87461224205813,34.76851016174792,45.49587619359284,39.7198246755176,55.89997280019459,44.51185870666076,64.90656176538512,68.98328414074098,54.82595750973194,83.34833101015379,80.21148460500667,39.76241558150817,74.57802172320001,39.98465645081502
15,37.9374411712307,60.73054302247187,44.50040893623291,37.75466255839002,33.15855396409471,76.90778476562525,75.24579130136254,62.100194845067385,57.120598401571435,67.31086768693562,84.37598573446803,51.55469962922097,26.985174416682163,63.01241902976457,52.720034785553565,62.060250685674134,58.431971279793174,32.77037754218984,66.49417333381865,46.056085467315775,55.972807844149614,52.6858496467289,30.117812468390966,80.39715934187947
16,35.53777412485535,66.74984157068712,46.221503638445554,37.2495411431017,45.79543353195322,61.42200610723285,34.55771390177465,79.42307211080517,47.00113585116902,61.53245139292227,53.172040649583664,33.94353487363235,37.12810717314318,47.26958971211141,66.51524318413237,71.02517070639965,57.547707157744654,71.07342562557801,68.3508079970167,27.534721443692057,78.28203618137051,35.883017575418116,62.24715403172502,63.12379723174128
17,65.8965092795719,80.35686626968675,57.557187961324914,75.01016907501952,58.4794617283021,67.48077029240359,31.325607686999746,29.695452875575853,58.48021090445218,46.62278657440658,29.221467402711113,65.42640127585017,79.02673666728259,70.72948732872746,73.62722780451448,44.29176069220113,62.57270029842805,63.634125080595375,37.294141887703084,71.00967499525744,36.48781781616817,47.02560020476296,60.98439284779436,35.588853024206905
18,64.46480514969929,32.285121208398415,29.444444658563647,54.84362069628051,43.6010016208371,28.07307333328422,40.44640567924468,39.93957711138393,32.84139080144106,28.865746424133683,39.78794099262751,26.25584883256343,67.50364190402355,47.65082792774141,44.76052400201451,62.95394362125444,61.289332888722484,74.51354656014354,27.537262036800023,63.75978867378768,56.40195932044202,31.386096064665047,73.81299466719662,27.35983012064662
19,77.37665595055077,83.31822852599501,63.95319975893843,63.44951223863498,29.941340739248552,32.00834494873981,39.306343800534634,58.81432607395084,52.43881568891148,70.79381503534131,34.98821842909827,61.60533329495144,67.9208005358737,46.731639250799965,75.9652845443093,66.01896873021306,29.42934788832752,79.29727540729222,76.46800274377482,72.7392630288013,69.94119831560516,59.77614684682548,69.98942624517912,64.43860582075324
20,70.21111635535782,70.59469413994108,48.36371464422985,64.81251480873104,62.6326581919308,38.93100621784423,81.29869958953698,76.35745666438049,33.95058375758164,59.21335722047006,38.27179002527356,77.03239337162162,53.620594631079776,34.2775606588655,64.71749589672763,38.90928296271358,48.37743597147511,61.32558395217866,25.15892622434759,61.46183277670665,56.57239743031215,47.83085769204601,65.98967214913762,34.74166127076868
